name,lat,lng,dist_text,dura_text,dist_value,dura_value
石河子市,44.31197647806301,86.08688567193295,3401.7公里,38.7小时,3401659.0,139258.0
石家庄市,38.0483119268727,114.52153190157443,898.7公里,9.5小时,898670.0,34304.0
石嘴山市,38.98968283991508,106.39060042550491,1420.9公里,14.8小时,1420870.0,53369.0
双鸭山市,46.65318589588607,131.16534168078073,2742.4公里,29.9小时,2742398.0,107819.0
朔州市,39.337108370541735,112.4393709396677,1157.6公里,12.9小时,1157575.0,46509.0
四平市,43.171993571561,124.35648155715893,1963.9公里,21.4小时,1963938.0,77048.0
松原市,45.14740419341382,124.83148187569292,2177.4公里,23.8小时,2177434.0,85645.0
苏州市,31.30356407444177,120.59241222959322,742.8公里,8.4小时,742787.0,30369.0
绥化市,46.6600321798244,126.9753568753013,2434.5公里,26.7小时,2434469.0,96214.0
随州市,31.6965167723283,113.38945001822157,170.1公里,2小时,170082.0,7324.0
遂宁市,30.539097671109122,105.59942153064439,963.1公里,11.8小时,963107.0,42416.0
塔城地区,46.750948254373434,82.98723551840641,3874.3公里,43.6小时,3874335.0,156926.0
台州市,28.662194055996146,121.42743470427969,862.3公里,10.3小时,862281.0,36915.0
太原市,37.87698902884778,112.55639149167204,942.2公里,10.6小时,942242.0,38148.0
泰安市,36.2058580448846,117.09449483479591,817.4公里,9小时,817403.0,32374.0
泰州市,32.4606750493083,119.92956633785481,674.7公里,7.7小时,674672.0,27632.0
唐山市,39.63658372414733,118.1864594720398,1237公里,13.5小时,1237048.0,48537.0
天津市,39.093667843403956,117.2095232146708,1123.9公里,12.2小时,1123916.0,43786.0
天门市,30.669621830099484,113.17240916632808,138.2公里,1.8小时,138167.0,6608.0
天水市,34.58741188165064,105.73141674566955,1073.3公里,13小时,1073300.0,46674.0
铁岭市,42.22994799718447,123.73236520917769,1834公里,20小时,1834023.0,71915.0
通化市,41.733815801613424,125.94660627598029,2029.2公里,22.4小时,2029193.0,80585.0
通辽市,43.657980083916655,122.25052178737631,1926.2公里,20.4小时,1926247.0,73412.0
铜川市,34.902637080502906,108.95240424835922,799.5公里,9.4小时,799464.0,33798.0
铜陵市,30.951233239913392,117.8184767944575,451.8公里,5.3小时,451832.0,19194.0
铜仁市,27.73778645640524,109.19643889817664,728.3公里,8.8小时,728312.0,31776.0
图木舒克市,39.87120907742499,79.07561628689639,4222.7公里,47.5小时,4222695.0,170862.0
吐鲁番市,42.956984848771235,89.1972972460079,3077.3公里,34.8小时,3077310.0,125265.0
屯昌县,19.35737492427829,110.1085773245709,1573.9公里,18.3小时,1573908.0,65808.0
万宁市,18.800106988303387,110.39943436554806,1645.3公里,19.1小时,1645267.0,68679.0
威海市,37.516430548014796,122.12754097831323,1294.7公里,13.9小时,1294711.0,50137.0
潍坊市,36.712651551267534,119.16837791142822,1051.6公里,11.4小时,1051649.0,41036.0
